load_W,efficiency_%
75.15657620041753, 88.0398293029872
81.419624217119, 88.75675675675676
88.3089770354906, 89.50355618776672
95.82463465553236, 90.17069701280228
105.21920668058455, 90.99715504978663
113.98747390396659, 91.69416785206259
120.25052192066806, 92.20199146514936
125.26096033402922, 92.52062588904694
140.29227557411272, 92.94879089615932
155.32359081419625, 93.2176386913229
171.60751565762004, 93.4566145092461
187.89144050104383, 93.66571834992888
206.68058455114823, 93.86486486486487
226.7223382045929, 93.97439544807966
245.51148225469728, 94.07396870554766
269.937369519833, 94.18349928876245
294.36325678496866, 94.25320056899004
321.92066805845513, 94.27311522048365
345.09394572025053, 94.28307254623044
368.89352818371606, 94.23328591749645
396.4509394572025, 94.14366998577525
420.25052192066806, 94.05405405405405
451.5657620041754, 93.90469416785206
487.2651356993737, 93.69559032716927
522.964509394572, 93.4566145092461
556.1586638830897, 93.2375533428165
600, 92.94879089615932